method,seed,epoch,timesteps,ppo_updates,optimizer_steps,learning_rate,train_success_rate,mean_score,std_score,success_rate,failure_rate,mean_cycles,median_cycles,std_cycles,mean_cycles_success,invalid_action_rate,epoch_seconds,elapsed_seconds
CNN-PPO,0,1.0,8192.0,16.0,1024.0,0.00035,0.320855614973262,-35.92699995517731,32.96061848901271,0.05,0.95,24.973333333333333,26.0,6.373326359828821,4.266666666666667,0.8388948211425521,43.499425411224365,43.499428272247314
CNN-PPO,0,2.0,16384.0,32.0,2048.0,0.00035,0.6334012219959266,2.7233334771792093,58.982999676891374,0.2433333333333333,0.7566666666666666,20.95,24.0,9.438970635968028,5.904109589041096,0.4739856801909308,72.11310577392578,116.41440844535828
CNN-PPO,0,3.0,24576.0,48.0,3072.0,0.00035,0.6991150442477876,15.279000129699709,64.25536646116548,0.3333333333333333,0.6666666666666667,19.23333333333333,23.0,10.228011645584992,6.03,0.4672443674176776,62.20306634902954,179.15675163269043
CNN-PPO,0,4.0,32768.0,64.0,4096.0,0.00035,0.6860670194003528,18.34500015497208,63.50752185579069,0.3433333333333333,0.6566666666666667,19.046666666666667,23.0,10.522570450649829,5.504854368932039,0.3745187259362968,44.28057360649109,223.73374795913696
CNN-PPO,0,5.0,40960.0,80.0,5120.0,0.00035,0.7152428810720268,21.420000126361845,67.21014848180513,0.39,0.61,18.1,23.0,10.70436048222094,5.666666666666667,0.4725598526703499,44.17969632148743,268.180038690567
CNN-PPO,0,6.0,49152.0,96.0,6144.0,0.00035,0.7328,40.347000131607054,67.21907723778943,0.5166666666666667,0.4833333333333333,15.903333333333334,14.5,11.09357121139186,5.864516129032258,0.3720394047369524,154.46260476112366,423.1440899372101
CNN-PPO,0,7.0,57344.0,112.0,7168.0,0.00035,0.7703125,34.48833341042201,69.13432836152764,0.4866666666666667,0.5133333333333333,16.09,17.0,10.501836347356909,6.136986301369863,0.4905738553967267,42.7650260925293,466.177992105484
CNN-PPO,0,8.0,65536.0,128.0,8192.0,0.00035,0.7791225416036308,47.33433348814646,64.91495337778218,0.56,0.4399999999999999,14.866666666666667,10.0,10.820145819514428,6.059523809523809,0.2825112107623318,43.02189207077026,509.41220450401306
CNN-PPO,0,9.0,73728.0,144.0,9216.0,0.00035,0.7777777777777778,58.7350000890096,64.36014812416603,0.66,0.3399999999999999,12.993333333333334,9.0,9.628427816742576,6.888888888888889,0.3637762955361724,42.43696880340576,552.1052706241608
CNN-PPO,0,10.0,81920.0,160.0,10240.0,0.00035,0.8598726114649682,71.34666674296061,56.69502694227165,0.7433333333333333,0.2566666666666667,11.17,7.0,9.036284265854706,6.461883408071749,0.250074604595643,43.32926726341248,595.692373752594
CNN-PPO,0,11.0,90112.0,176.0,11264.0,0.00035,0.8744131455399061,76.04400009314219,53.3426632126363,0.7733333333333333,0.2266666666666666,10.373333333333331,7.0,8.40440096351641,6.422413793103448,0.1873393316195372,42.978816986083984,639.0468459129333
CNN-PPO,0,12.0,98304.0,192.0,12288.0,0.00035,0.8992161254199328,76.89033338069916,54.44148481831472,0.7933333333333333,0.2066666666666666,10.606666666666667,7.0,8.470259080387617,6.970588235294118,0.2646134506599623,42.76959156990051,682.0971031188965
CNN-PPO,0,13.0,106496.0,208.0,13312.0,0.00035,0.8952270081490105,75.96500006914138,54.9997375768696,0.7866666666666666,0.2133333333333333,10.61,7.0,8.79381790426282,6.686440677966102,0.2635878102419101,42.48409223556519,724.8439502716064
CNN-PPO,0,14.0,114688.0,224.0,14336.0,0.00035,0.8941441441441441,81.28600004593531,49.82000867267991,0.8166666666666667,0.1833333333333333,9.843333333333334,7.0,8.124374163931371,6.497959183673469,0.170335252285811,44.96009349822998,770.0553784370422
CNN-PPO,0,15.0,122880.0,240.0,15360.0,0.00035,0.8934240362811792,82.29900005896886,48.47517464963285,0.82,0.18,9.52,6.0,8.296360647898572,6.077235772357724,0.1383053221288515,42.85252141952515,813.1701831817627
CNN-PPO,0,16.0,131072.0,256.0,16384.0,0.00035,0.8655256723716381,82.18100007375081,48.21299473141536,0.8166666666666667,0.1833333333333333,9.803333333333333,7.0,8.279572586928762,6.436734693877551,0.1030261815708942,43.19550538063049,856.7504818439484
CNN-PPO,0,17.0,139264.0,272.0,17408.0,0.00035,0.9118279569892472,87.2063333829244,44.20642924367308,0.8633333333333333,0.1366666666666667,9.076666666666666,6.0,7.831397633174355,6.428571428571429,0.1402864487697392,43.1891016960144,900.1850011348724
CNN-PPO,0,18.0,147456.0,288.0,18432.0,0.00035,0.9162357807652534,85.02033336162567,47.37613974818541,0.85,0.15,9.08,6.0,7.728320214207828,6.345098039215686,0.2129221732745961,41.1955783367157,941.663915157318
CNN-PPO,0,19.0,155648.0,304.0,19456.0,0.00035,0.934873949579832,88.04066668669383,45.08736050617285,0.8766666666666667,0.1233333333333333,8.73,6.0,7.700893887508558,6.319391634980988,0.2252768232149675,42.65703320503235,984.5384747982024
CNN-PPO,0,20.0,163840.0,320.0,20480.0,0.00035,0.9547169811320756,88.84666670083999,43.194032194949166,0.8766666666666667,0.1233333333333333,8.44,6.0,7.077174577470871,6.285171102661597,0.155608214849921,42.63819169998169,1027.4243586063385
CNN-PPO,0,21.0,172032.0,336.0,21504.0,0.00035,0.9342995169082126,89.86400005261103,40.6469428362413,0.8766666666666667,0.1233333333333333,8.513333333333334,6.0,7.545627136884573,6.106463878326996,0.0434612372748629,38.91755175590515,1066.9079718589785
CNN-PPO,0,22.0,180224.0,352.0,22528.0,0.00035,0.9474689589302768,91.49800001939138,40.01256045401112,0.8966666666666666,0.1033333333333333,8.28,6.0,6.8270247301929885,6.412639405204461,0.143317230273752,36.0095489025116,1103.146996974945
CNN-PPO,0,23.0,188416.0,368.0,23552.0,0.00035,0.9718181818181818,97.97666667699814,30.529597472469213,0.9466666666666668,0.0533333333333333,7.376666666666667,6.0,5.57567235606812,6.496478873239437,0.0930863081789426,36.54442286491394,1139.98437333107
CNN-PPO,0,24.0,196608.0,384.0,24576.0,0.00035,0.9813242784380306,95.0193333554268,35.18236806224929,0.92,0.0799999999999999,7.396666666666666,5.0,6.014924955660065,6.061594202898551,0.1050022532672375,36.95867013931274,1177.198563337326
CNN-PPO,0,25.0,204800.0,400.0,25600.0,0.00035,0.9670138888888888,95.33233335097631,34.97430274408855,0.9266666666666666,0.0733333333333333,7.376666666666667,5.0,6.263235762944121,6.025179856115108,0.1188431992769995,36.69490432739258,1214.1225962638855
CNN-PPO,0,26.0,212992.0,416.0,26624.0,0.00035,0.9714285714285714,95.9326666800181,33.79510710317916,0.9266666666666666,0.0733333333333333,7.196666666666666,5.0,5.948500277847818,5.953237410071942,0.1018990273274664,35.64716601371765,1250.1173822879791
CNN-PPO,0,27.0,221184.0,432.0,27648.0,0.00035,0.9663503019844694,102.24100001176198,18.809074502491,0.9733333333333334,0.0266666666666666,6.433333333333334,5.0,4.9482881439499415,5.921232876712328,0.0134715025906735,34.39655947685242,1284.7663433551788
CNN-PPO,0,28.0,229376.0,448.0,28672.0,0.00035,0.9791840133222316,99.74700000603994,26.34014598226477,0.9566666666666668,0.0433333333333333,6.726666666666667,5.0,5.564047287921107,5.898954703832753,0.0659068384539147,34.62893009185791,1319.6739251613617
CNN-PPO,0,29.0,237568.0,464.0,29696.0,0.00035,0.969439728353141,99.3363333495458,25.540556842713844,0.95,0.05,6.773333333333333,5.0,5.917371788969229,5.733333333333333,0.0295275590551181,34.382262229919434,1354.3055684566498
CNN-PPO,0,30.0,245760.0,480.0,30720.0,0.00035,0.9781199351701784,99.64366667350131,26.549846061660045,0.9566666666666668,0.0433333333333333,6.47,5.0,5.179681457387123,5.7177700348432055,0.0731581658938691,35.172877073287964,1389.7281141281128
CNN-PPO,0,31.0,253952.0,496.0,31744.0,0.00035,0.9858712715855572,100.51166667779286,24.58864159494166,0.9633333333333334,0.0366666666666666,6.223333333333334,5.0,4.812496464645166,5.622837370242214,0.0615961435457953,40.39272952079773,1430.4626936912537
CNN-PPO,0,32.0,262144.0,512.0,32768.0,0.00035,0.991564417177914,99.69066667715708,27.64825331887497,0.96,0.04,6.293333333333333,5.0,4.955867454061117,5.65625,0.1011652542372881,40.59245800971985,1471.3005402088163
CNN-PPO,0,33.0,270336.0,528.0,33792.0,0.00035,0.991130820399113,102.61333334207536,18.31571696706068,0.98,0.02,5.883333333333334,5.0,4.3668893073012764,5.571428571428571,0.0328611898016997,40.3136203289032,1511.8369727134705
CNN-PPO,0,34.0,278528.0,544.0,34816.0,0.00035,0.9813953488372092,101.68533334970476,20.03539657598429,0.97,0.03,6.193333333333333,5.0,4.893119886352901,5.628865979381444,0.0096878363832077,41.90955328941345,1554.020835161209
CNN-PPO,0,35.0,286720.0,560.0,35840.0,0.00035,0.9899923017705928,100.98266667127608,24.450872497970792,0.97,0.03,6.243333333333333,5.0,4.902800786851895,5.694158075601375,0.0832888414308595,41.02308678627014,1595.27863073349
CNN-PPO,0,36.0,294912.0,576.0,36864.0,0.00035,0.9955089820359282,102.89200000445048,17.763905419640505,0.9833333333333332,0.0166666666666667,5.873333333333333,5.0,4.645136046327264,5.515254237288136,0.0402951191827468,41.48122215270996,1637.107789993286
CNN-PPO,0,37.0,303104.0,592.0,37888.0,0.00035,0.9943100995732574,100.47500000794729,25.53111320025441,0.9666666666666668,0.0333333333333333,6.333333333333333,5.0,5.260756177162705,5.665517241379311,0.0905263157894736,41.52792716026306,1678.9325358867643
CNN-PPO,0,38.0,311296.0,608.0,38912.0,0.00035,0.993594306049822,100.53266667286556,25.11334570409182,0.9666666666666668,0.0333333333333333,6.02,5.0,4.949033575692666,5.372413793103449,0.0913621262458471,39.90613842010498,1719.2800133228302
CNN-PPO,0,39.0,319488.0,624.0,39936.0,0.00035,0.984081041968162,102.01733333985013,20.146762339994872,0.9766666666666668,0.0233333333333333,5.746666666666667,5.0,4.478372720332937,5.296928327645051,0.0562645011600928,39.371559143066406,1758.881114244461
CNN-PPO,0,40.0,327680.0,640.0,40960.0,0.00035,0.9909407665505228,98.03566667318344,30.68425265181824,0.95,0.05,6.35,4.5,5.979478795569616,5.2140350877192985,0.1433070866141732,40.57775902748108,1799.6950733661652
GNN-maxpool-PPO,0,1.0,8192.0,16.0,1024.0,0.00035,0.2625698324022346,-43.65799998362859,30.4141661479608,0.0366666666666666,0.9633333333333334,25.036666666666665,26.0,6.057666400704336,2.727272727272727,0.9408866995073892,32.187724351882935,32.18772768974304
GNN-maxpool-PPO,0,2.0,16384.0,32.0,2048.0,0.00035,0.2155172413793103,-45.74233327547709,17.8653941457586,0.01,0.99,25.75333333333333,26.0,4.954374049486193,1.0,0.884804556044525,35.392775774002075,68.07870554924011
GNN-maxpool-PPO,0,3.0,24576.0,48.0,3072.0,0.00035,0.1759530791788856,-41.97366661945978,30.891067847300494,0.04,0.96,25.25333333333333,26.0,6.2141630347314045,2.6666666666666665,0.8969112988384371,86.71313285827637,154.97243070602417
GNN-maxpool-PPO,0,4.0,32768.0,64.0,4096.0,0.00035,0.2102272727272727,-41.97366661945978,30.891067847300494,0.04,0.96,25.25333333333333,26.0,6.2141630347314045,2.6666666666666665,0.8969112988384371,33.10636854171753,188.4421157836914
GNN-maxpool-PPO,0,5.0,40960.0,80.0,5120.0,0.00035,0.1632653061224489,-43.17599994977315,27.259779107126324,0.03,0.97,25.42,26.0,5.888712366327067,1.8888888888888888,0.8947023341201154,34.81286549568176,223.45811772346497
GNN-maxpool-PPO,0,6.0,49152.0,96.0,6144.0,0.00035,0.2215909090909091,-41.97366661945978,30.891067847300494,0.04,0.96,25.25333333333333,26.0,6.2141630347314045,2.6666666666666665,0.8969112988384371,33.34594225883484,257.00891494750977
GNN-maxpool-PPO,0,7.0,57344.0,112.0,7168.0,0.00035,0.1737891737891738,-42.864999944369,28.673895351802265,0.0333333333333333,0.9666666666666668,25.37,26.0,5.97269620858118,2.3,0.8902903692024701,72.23524022102356,329.4462161064148
GNN-maxpool-PPO,0,8.0,65536.0,128.0,8192.0,0.00035,0.1831395348837209,-42.34666661818822,29.995054401445984,0.0366666666666666,0.9633333333333334,25.296666666666667,26.0,6.117351460304442,2.4545454545454546,0.8948478060350508,94.6016926765442,424.25971937179565
GNN-maxpool-PPO,0,9.0,73728.0,144.0,9216.0,0.00035,0.1959654178674351,-40.305333185990655,29.70100181780859,0.0333333333333333,0.9666666666666668,25.41,26.0,5.942662141947271,2.5,0.8040141676505312,33.062986850738525,457.5361270904541
GNN-maxpool-PPO,0,10.0,81920.0,160.0,10240.0,0.00035,0.1771771771771771,-40.20033318201701,28.49705313730123,0.03,0.97,25.46333333333333,26.0,5.7817519451767865,3.2222222222222223,0.7948684382772614,32.69668126106262,490.4293241500855
GNN-maxpool-PPO,0,11.0,90112.0,176.0,11264.0,0.00035,0.1834319526627219,-44.26566661675771,24.540816087290168,0.0233333333333333,0.9766666666666668,25.563333333333333,26.0,5.511139224838686,2.4285714285714284,0.89411918111879,33.129417181015015,523.7664468288422
GNN-maxpool-PPO,0,12.0,98304.0,192.0,12288.0,0.00035,0.2367688022284122,-42.92499994039535,28.90010856565224,0.0333333333333333,0.9666666666666668,25.37,26.0,5.929567156771788,2.9,0.8884509262908947,33.40334939956665,557.3778874874115
GNN-maxpool-PPO,0,13.0,106496.0,208.0,13312.0,0.00035,0.1730205278592375,-41.580333285331726,32.0427274025631,0.0433333333333333,0.9566666666666668,25.216666666666665,26.0,6.306323986461703,2.769230769230769,0.8963648380700595,32.482232093811035,590.0753517150879
GNN-maxpool-PPO,0,14.0,114688.0,224.0,14336.0,0.00035,0.1773255813953488,-39.817666548887885,27.40774570791136,0.0266666666666666,0.9733333333333334,25.536666666666665,26.0,5.651724417280879,2.5,0.7569507897141365,33.293375730514526,623.5873215198517
GNN-maxpool-PPO,0,15.0,122880.0,240.0,15360.0,0.00035,0.1141141141141141,-40.48633321285248,30.364437247785336,0.0366666666666666,0.9633333333333334,25.313333333333333,26.0,6.135293165140702,2.090909090909091,0.8323676586779036,31.41767883300781,655.2103688716888
GNN-maxpool-PPO,0,16.0,131072.0,256.0,16384.0,0.00035,0.1390532544378698,-41.39533328930537,31.02889692862304,0.04,0.96,25.25333333333333,26.0,6.2141630347314045,2.6666666666666665,0.8901795142555439,32.222065687179565,687.6436939239502
GNN-maxpool-PPO,0,17.0,139264.0,272.0,17408.0,0.00035,0.1831395348837209,-40.23433320124944,26.18444815549057,0.0233333333333333,0.9766666666666668,25.593333333333334,26.0,5.498601842488891,2.571428571428572,0.755665537900495,33.69241404533386,721.5490095615387
GNN-maxpool-PPO,0,18.0,147456.0,288.0,18432.0,0.00035,0.2285714285714285,-42.33566655238469,25.595935176782973,0.0233333333333333,0.9766666666666668,25.543333333333333,26.0,5.607862535959866,1.5714285714285714,0.8252642568184784,35.09580659866333,756.8761782646179
GNN-maxpool-PPO,0,19.0,155648.0,304.0,19456.0,0.00035,0.2193732193732193,-42.97066659450531,26.637739027479327,0.0266666666666666,0.9733333333333334,25.486666666666668,26.0,5.757588229651563,1.625,0.8688202981951347,34.72971272468567,791.8202295303345
GNN-maxpool-PPO,0,20.0,163840.0,320.0,20480.0,0.00035,0.1860465116279069,-41.385999893347424,25.590203983418355,0.0233333333333333,0.9766666666666668,25.543333333333333,26.0,5.607862535959866,1.5714285714285714,0.7896385227717604,33.482654094696045,825.5080044269562
GNN-maxpool-PPO,0,21.0,172032.0,336.0,21504.0,0.00035,0.1826086956521739,-42.05966661055883,29.935773574272,0.0366666666666666,0.9633333333333334,25.29,26.0,6.002713275400272,3.272727272727273,0.8853301700276789,19.96194648742676,845.978141784668
GNN-maxpool-PPO,0,22.0,180224.0,352.0,22528.0,0.00035,0.1976401179941003,-41.12899994929632,32.18893068509118,0.0433333333333333,0.9566666666666668,25.17,26.0,6.256284840062831,3.4615384615384617,0.8866375314527877,20.33741068840027,866.5154786109924
GNN-maxpool-PPO,0,23.0,188416.0,368.0,23552.0,0.00035,0.247191011235955,-41.06266661564509,32.31401974992899,0.0433333333333333,0.9566666666666668,25.22,26.0,6.158322282353639,4.076923076923077,0.8842188739095955,19.94843101501465,886.6953356266022
GNN-maxpool-PPO,0,24.0,196608.0,384.0,24576.0,0.00035,0.2349570200573066,-40.65099994977315,33.256331205779645,0.0466666666666666,0.9533333333333334,25.10333333333333,26.0,6.373851966345695,3.5,0.8864692603903864,20.154489517211918,907.0721650123596
GNN-maxpool-PPO,0,25.0,204800.0,400.0,25600.0,0.00035,0.2354651162790697,-40.24299995422364,34.34965284494264,0.05,0.95,25.06,26.0,6.51841494025452,3.2666666666666666,0.8828145783453046,19.355626106262207,926.6417484283448
GNN-maxpool-PPO,0,26.0,212992.0,416.0,26624.0,0.00035,0.2742382271468144,-40.36633327563604,34.09263213686896,0.05,0.95,25.14333333333333,26.0,6.441230903760209,3.533333333333333,0.8841309823677582,19.159440517425537,946.006538629532
GNN-maxpool-PPO,0,27.0,221184.0,432.0,27648.0,0.00035,0.2676056338028169,-41.55033329089483,33.054551369224015,0.0466666666666666,0.9533333333333334,25.166666666666668,26.0,6.36858609809814,3.357142857142857,0.9041059602649006,19.47417664527893,965.6860094070436
GNN-maxpool-PPO,0,28.0,229376.0,448.0,28672.0,0.00035,0.2570621468926554,-41.60299994468689,30.956951140583435,0.04,0.96,25.26,26.0,6.214960445033688,2.583333333333333,0.8866455529163367,19.3627827167511,985.2461314201356
GNN-maxpool-PPO,0,29.0,237568.0,464.0,29696.0,0.00035,0.245014245014245,-41.64399994929632,31.0480519581466,0.04,0.96,25.246666666666663,26.0,6.122566636813536,3.5,0.8873778716662266,19.68327522277832,1005.130007982254
GNN-maxpool-PPO,0,30.0,245760.0,480.0,30720.0,0.00035,0.2155172413793103,-42.02199995040893,29.890511020529427,0.0366666666666666,0.9633333333333334,25.286666666666665,26.0,6.0507152928852594,3.1818181818181817,0.8872923807012919,19.16837787628174,1024.5217952728271
GNN-maxpool-PPO,0,31.0,253952.0,496.0,31744.0,0.00035,0.2513966480446927,-41.898666604359946,30.13758337145133,0.0366666666666666,0.9633333333333334,25.31,26.0,6.083904995970926,2.636363636363636,0.8759383642828922,18.95234203338623,1043.7150211334229
GNN-maxpool-PPO,0,32.0,262144.0,512.0,32768.0,0.00035,0.2668539325842696,-40.680999952157336,33.23378309176788,0.0466666666666666,0.9533333333333334,25.12,26.0,6.394184858134772,3.357142857142857,0.8870753715498938,21.938558340072632,1065.8647725582125
GNN-maxpool-PPO,0,33.0,270336.0,528.0,33792.0,0.00035,0.2618384401114206,-41.592999961376194,33.088798467550234,0.0466666666666666,0.9533333333333334,25.12,26.0,6.393663529881232,3.2142857142857144,0.9075106157112528,23.84558892250061,1089.9102187156675
